Date;Open;High;Low;Close;Adj Close;Volume;GV;GG;KG
17.05.2021;180360001;181889999;179360001;181539993;181539993;441600;1;2529998;1179992
18.05.2021;180800003;181100006;178389999;179100006;179100006;138800;-1;2710007;1699997
19.05.2021;178000000;180779999;177339996;179710007;179710007;44900;1;3440003;1710007
20.05.2021;181619995;183149994;181330002;182630005;182630005;53800;1;1819992;1010010
21.05.2021;184929993;184929993;183100006;183429993;183429993;40000;-1;1829987;1500000
24.05.2021;183750000;186809998;183500000;186679993;186679993;21000;1;3309998;2929993
25.05.2021;184720001;185610001;183009995;184000000;184000000;43000;-1;2600006;720001
26.05.2021;181160004;182380005;181039993;181600006;181600006;52500;1;1340012;440002
27.05.2021;180529999;182910004;180449997;182259995;182259995;146800;1;2460007;1729996
28.05.2021;181350006;183899994;181250000;183369995;183369995;182500;1;2649994;2019989
01.06.2021;181820007;183240005;181600006;182679993;182679993;183000;1;1639999;859986
02.06.2021;181669998;182679993;181080002;182179993;182179993;29300;1;1599991;509995
03.06.2021;180910004;182000000;180240005;181990005;181990005;47300;1;1759995;1080001
04.06.2021;181160004;181399994;180550003;181149994;181149994;40000;-1;849991;10010
07.06.2021;181330002;181889999;180899994;181440002;181440002;20300;1;990005;110000
08.06.2021;180960007;181449997;179490005;180419998;180419998;29200;-1;1959992;540009
09.06.2021;179580002;179990005;178330002;178929993;178929993;24000;-1;1660003;650009
10.06.2021;176949997;179210007;176949997;179000000;179000000;217200;1;2260010;2050003
11.06.2021;179570007;180080002;178309998;179250000;179250000;255600;-1;1770004;320007
14.06.2021;177729996;178889999;177729996;178669998;178669998;40900;1;1160003;940002
15.06.2021;177570007;178369995;176949997;177970001;177970001;47600;1;1419998;399994
16.06.2021;176300003;178250000;175919998;176380005;176380005;30800;1;2330002;80002
17.06.2021;174559998;175149994;173259995;174160004;174160004;34100;-1;1889999;399994
18.06.2021;171960007;172949997;169639999;171229996;171229996;141100;-1;3309998;730011
21.06.2021;172509995;173880005;171860001;173850006;173850006;183300;1;2020004;1340011
22.06.2021;172320007;174600006;171899994;174229996;174229996;57500;1;2700012;1909989
23.06.2021;174589996;175300003;173490005;174110001;174110001;33200;-1;1809998;479995
24.06.2021;174899994;175289993;174369995;175289993;175289993;35900;1;919998;389999
25.06.2021;184369995;185929993;184110001;185020004;185020004;98400;1;1819992;650009
28.06.2021;186110001;186300003;184369995;184970001;184970001;52100;-1;1930008;1140000
29.06.2021;188389999;189940002;188000000;189449997;189449997;50300;1;1940002;1059998
30.06.2021;185970001;187289993;185460007;186779999;186779999;39900;1;1829986;809998
01.07.2021;187740005;188190002;186000000;186750000;186750000;20000;-1;2190002;990005
02.07.2021;187550003;188649994;186449997;187690002;187690002;31500;1;2199997;139999
06.07.2021;185470001;185789993;184009995;185169998;185169998;26800;-1;1779998;300003
07.07.2021;188750000;189289993;187600006;188309998;188309998;20400;-1;1689987;440002
08.07.2021;185679993;187839996;183750000;187520004;187520004;31500;1;4089996;1840011
09.07.2021;187429993;189380005;187429993;189289993;189289993;18400;1;1950012;1860000
12.07.2021;190470001;191429993;190220001;190759995;190759995;16100;1;1209992;289994
13.07.2021;189449997;190169998;189000000;189490005;189490005;23000;1;1169998;40008
14.07.2021;189570007;191070007;189470001;190940002;190940002;25500;1;1600006;1369995
15.07.2021;187639999;188330002;185800003;186570007;186570007;45200;-1;2529999;1069992
16.07.2021;184250000;185720001;182500000;183399994;183399994;32500;-1;3220001;850006
19.07.2021;180149994;180750000;178839996;180630005;180630005;27800;1;1910004;480011
20.07.2021;179309998;181580002;178669998;181289993;181289993;75300;1;2910004;1979995
21.07.2021;181839996;183080002;181740005;183020004;183020004;43700;1;1339997;1180008
22.07.2021;183050003;184050003;182690002;183009995;183009995;62900;-1;1360001;40008
23.07.2021;185490005;187330002;184750000;187009995;187009995;36600;1;2580002;1519990
26.07.2021;185360001;185729996;184000000;184500000;184500000;27000;-1;1729996;860001
27.07.2021;184929993;184929993;182139999;183520004;183520004;24100;-1;2789994;1409989
28.07.2021;182479996;183460007;182029999;183119995;183119995;24400;1;1430008;639999
29.07.2021;183369995;183809998;182940002;183360001;183360001;20400;-1;869996;9994
30.07.2021;182669998;182669998;181570007;182050003;182050003;127100;-1;1099991;619995
02.08.2021;187110001;189330002;186940002;188160004;188160004;215000;1;2390000;1050003
03.08.2021;191740005;193020004;190240005;193009995;193009995;55400;1;2779999;1269990
04.08.2021;196679993;199440002;196279999;198679993;198679993;155700;1;3160003;2000000
05.08.2021;188809998;190550003;187600006;188500000;188500000;75000;-1;2949997;309998
06.08.2021;185470001;186369995;182800003;184000000;184000000;68000;-1;3569992;1470001
09.08.2021;185570007;186410004;184000000;184020004;184020004;30000;-1;2410004;1550003
10.08.2021;181550003;182059998;180600006;181500000;181500000;36200;-1;1459992;50003
11.08.2021;180929993;181440002;180279999;180750000;180750000;31800;-1;1160003;179993
12.08.2021;181600006;184979996;180979996;184529999;184529999;41600;1;4000000;2929993
13.08.2021;188699997;189029999;187470001;188389999;188389999;41600;-1;1559998;309998
16.08.2021;185220001;187009995;184029999;185330002;185330002;25100;1;2979996;110001
17.08.2021;183880005;184759995;181110001;181630005;181630005;131400;-1;3649994;2250000
18.08.2021;178720001;180589996;178419998;178949997;178949997;41900;1;2169998;229996
19.08.2021;177050003;178460007;176000000;177320007;177320007;123200;1;2460007;270004
20.08.2021;176710007;177339996;175910004;177160004;177160004;31500;1;1429992;449997
